Instrument,Date,Close Price
CLc1,1/3/2022,75.99
CLc1,1/4/2022,77.21
CLc1,1/5/2022,77.19
CLc1,1/6/2022,79.65
CLc1,1/7/2022,78.94
CLc1,1/10/2022,78.43
CLc1,1/11/2022,81.33
CLc1,1/12/2022,82.76
CLc1,1/13/2022,81.7
CLc1,1/14/2022,84.27
CLc1,1/14/2022,84.27
CLc1,1/18/2022,86.56
CLc1,1/19/2022,86.17
CLc1,1/20/2022,86.29
CLc1,1/21/2022,84.83
CLc1,1/24/2022,84.08
CLc1,1/25/2022,85.17
CLc1,1/26/2022,87.15
CLc1,1/27/2022,87.29
CLc1,1/28/2022,87.29
CLc1,1/31/2022,88.15
CLc1,2/1/2022,88.36
CLc1,2/2/2022,88.02
CLc1,2/3/2022,90.17
CLc1,2/4/2022,91.92
CLc1,2/7/2022,91.63
CLc1,2/8/2022,89.78
CLc1,2/9/2022,90.03
CLc1,2/10/2022,90.04
CLc1,2/11/2022,93.9
CLc1,2/14/2022,94.78
CLc1,2/15/2022,92.1
CLc1,2/16/2022,90.62
CLc1,2/17/2022,91.68
CLc1,2/18/2022,91.66
CLc1,2/18/2022,91.66
CLc1,2/22/2022,92.27
CLc1,2/23/2022,92.24
CLc1,2/24/2022,93
CLc1,2/25/2022,91.94
CLc1,2/28/2022,95.82
CLc1,3/1/2022,106.34
CLc1,3/2/2022,111.4
CLc1,3/3/2022,108.05
CLc1,3/4/2022,115
CLc1,3/7/2022,120.32
CLc1,3/8/2022,124.77
CLc1,3/9/2022,109.53
CLc1,3/10/2022,105.85
CLc1,3/11/2022,109.09
CLc1,3/14/2022,102.04
CLc1,3/15/2022,95.18
CLc1,3/16/2022,95.36
CLc1,3/17/2022,103.62
CLc1,3/18/2022,105.1
CLc1,3/21/2022,112.6
CLc1,3/22/2022,111.3
CLc1,3/23/2022,114.35
CLc1,3/24/2022,111.27
CLc1,3/25/2022,112.6
CLc1,3/28/2022,103.49
CLc1,3/29/2022,105.16
CLc1,3/30/2022,107.46
CLc1,3/31/2022,101.2
CLc1,4/1/2022,99.42
CLc1,4/4/2022,103.65
CLc1,4/5/2022,101.38
CLc1,4/6/2022,96.97
CLc1,4/7/2022,97.13
CLc1,4/8/2022,97.9
CLc1,4/11/2022,95.18
CLc1,4/12/2022,100.98
CLc1,4/13/2022,104.15
CLc1,4/14/2022,106.54
CLc1,4/14/2022,106.54
CLc1,4/18/2022,107.59
CLc1,4/19/2022,102.63
CLc1,4/20/2022,102.56
CLc1,4/21/2022,104.03
CLc1,4/22/2022,101.75
CLc1,4/25/2022,98.62
CLc1,4/26/2022,101.71
CLc1,4/27/2022,102.09
CLc1,4/28/2022,105.2
CLc1,4/29/2022,104.11
CLc1,5/2/2022,105.09
CLc1,5/3/2022,103.53
CLc1,5/4/2022,107.55
CLc1,5/5/2022,108.61
CLc1,5/6/2022,110.61
CLc1,5/9/2022,102.35
CLc1,5/10/2022,99.43
CLc1,5/11/2022,105.59
CLc1,5/12/2022,106.63
CLc1,5/13/2022,110.16
CLc1,5/16/2022,113.89
CLc1,5/17/2022,113.66
CLc1,5/18/2022,109.23
CLc1,5/19/2022,111.65
CLc1,5/20/2022,112.7
CLc1,5/23/2022,110.59
CLc1,5/24/2022,110.26
CLc1,5/25/2022,110.74
CLc1,5/26/2022,114.26
CLc1,5/27/2022,115.07
CLc1,5/27/2022,115.07
CLc1,5/31/2022,115.26
CLc1,6/1/2022,114.79
CLc1,6/2/2022,117.55
CLc1,6/3/2022,120.26
CLc1,6/6/2022,119.4
CLc1,6/7/2022,119.77
CLc1,6/8/2022,122.41
CLc1,6/9/2022,121.4
CLc1,6/10/2022,120.47
CLc1,6/13/2022,121.09
CLc1,6/14/2022,119.07
CLc1,6/15/2022,115.83
CLc1,6/16/2022,117.06
CLc1,6/17/2022,110.48
CLc1,6/17/2022,110.48
CLc1,6/21/2022,110.58
CLc1,6/22/2022,104.3
CLc1,6/23/2022,104.03
CLc1,6/24/2022,107.06
CLc1,6/27/2022,109.81
CLc1,6/28/2022,111.84
CLc1,6/29/2022,109.63
CLc1,6/30/2022,106.01
CLc1,7/1/2022,108.46
CLc1,7/1/2022,108.46
CLc1,7/5/2022,99.55
CLc1,7/6/2022,98.13
CLc1,7/7/2022,102.16
CLc1,7/8/2022,104.8
CLc1,7/11/2022,103.46
CLc1,7/12/2022,95.64
CLc1,7/13/2022,96.4
CLc1,7/14/2022,96.47
CLc1,7/15/2022,97.57
CLc1,7/18/2022,102.09
CLc1,7/19/2022,103.85
CLc1,7/20/2022,102.61
CLc1,7/21/2022,96.58
CLc1,7/22/2022,95.09
CLc1,7/25/2022,96.45
CLc1,7/26/2022,95.54
CLc1,7/27/2022,98.12
CLc1,7/28/2022,97.3
CLc1,7/29/2022,98.3
CLc1,8/1/2022,94.07
CLc1,8/2/2022,93.85
CLc1,8/3/2022,90.92
CLc1,8/4/2022,87.8
CLc1,8/5/2022,88.53
CLc1,8/8/2022,90.49
CLc1,8/9/2022,90.54
CLc1,8/10/2022,91.57
CLc1,8/11/2022,93.99
CLc1,8/12/2022,91.88
CLc1,8/15/2022,87.85
CLc1,8/16/2022,87.13
CLc1,8/17/2022,87.29
CLc1,8/18/2022,90.38
CLc1,8/19/2022,89.91
CLc1,8/22/2022,90.67
CLc1,8/23/2022,93.77
CLc1,8/24/2022,95.37
CLc1,8/25/2022,93.02
CLc1,8/26/2022,92.97
CLc1,8/29/2022,96.94
CLc1,8/30/2022,92.27
CLc1,8/31/2022,88.85
CLc1,9/1/2022,86.37
CLc1,9/2/2022,87.25
CLc1,9/2/2022,87.25
CLc1,9/6/2022,86.96
CLc1,9/7/2022,81.66
CLc1,9/8/2022,82.73
CLc1,9/9/2022,86.1
CLc1,9/12/2022,88.04
CLc1,9/13/2022,87.64
CLc1,9/14/2022,88.98
CLc1,9/15/2022,85.11
CLc1,9/16/2022,85.4
CLc1,9/19/2022,85.33
CLc1,9/20/2022,84.19
CLc1,9/21/2022,83.05
CLc1,9/22/2022,83.5
CLc1,9/23/2022,79.43
CLc1,9/26/2022,76.34
CLc1,9/27/2022,77.96
CLc1,9/28/2022,81.88
CLc1,9/29/2022,81.61
