Instrument,Date,Settlement Price,Open Price,Close Price,Open Interest,RIC,Strike,Expiry,Expiry_Date
CL500C25^C25,2024-03-01T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-04T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-05T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-06T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-07T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-08T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-11T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-12T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-13T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-14T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-15T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-18T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-19T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-20T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-21T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-22T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-25T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-26T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-27T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-28T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-03-29T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-01T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-02T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-03T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-04T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-05T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-08T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-09T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-10T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-11T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-12T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-15T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-16T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-17T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-18T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-19T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-22T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-23T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
CL500C25^C25,2024-04-24T00:00:00Z,,,,,CL500C25^C25,50.0,C25,2025-03-01
