Instrument,Date,Settlement Price,Open Price,Close Price,Open Interest,RIC,Strike,Expiry,Expiry_Date
CL500I24^I24,2023-09-01T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-04T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-05T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-06T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-07T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-08T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-11T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-12T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-13T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-14T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-15T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-18T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-19T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-20T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-21T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-22T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-25T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-26T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-27T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-28T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-09-29T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
CL500I24^I24,2023-10-02T00:00:00Z,,,,,CL500I24^I24,50.0,I24,2024-09-01
