Instrument,Date,Settlement Price,Open Price,Close Price,Open Interest,RIC,Strike,Expiry,Expiry_Date
CL500L24^L24,2023-12-01T00:00:00Z,23.54,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-04T00:00:00Z,23.67,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-05T00:00:00Z,22.96,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-06T00:00:00Z,21.22,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-07T00:00:00Z,21.09,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-08T00:00:00Z,22.17,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-11T00:00:00Z,22.51,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-12T00:00:00Z,20.8,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-13T00:00:00Z,21.69,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-14T00:00:00Z,23.18,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-15T00:00:00Z,23.13,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-18T00:00:00Z,23.79,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-19T00:00:00Z,24.54,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-20T00:00:00Z,24.36,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-21T00:00:00Z,23.85,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-22T00:00:00Z,23.23,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-22T00:00:00Z,23.23,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-26T00:00:00Z,24.45,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-27T00:00:00Z,23.82,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-28T00:00:00Z,22.05,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-29T00:00:00Z,21.86,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2023-12-29T00:00:00Z,21.86,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-02T00:00:00Z,21.17,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-03T00:00:00Z,22.71,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-04T00:00:00Z,22.08,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-05T00:00:00Z,22.95,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-08T00:00:00Z,21.05,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-09T00:00:00Z,21.82,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-10T00:00:00Z,21.43,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-11T00:00:00Z,21.88,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-12T00:00:00Z,22.59,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-12T00:00:00Z,22.59,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-16T00:00:00Z,22.22,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-17T00:00:00Z,21.92,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-18T00:00:00Z,22.73,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-19T00:00:00Z,22.08,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-22T00:00:00Z,23.36,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-23T00:00:00Z,23.08,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-24T00:00:00Z,23.5,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-25T00:00:00Z,24.9,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-26T00:00:00Z,25.43,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-29T00:00:00Z,24.59,,,100,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-30T00:00:00Z,25.34,,,108,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-01-31T00:00:00Z,23.87,,,129,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-01T00:00:00Z,22.37,,,146,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-02T00:00:00Z,21.35,,,155,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-05T00:00:00Z,21.91,,,155,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-06T00:00:00Z,22.15,,,155,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-07T00:00:00Z,22.51,,,155,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-08T00:00:00Z,23.9,,,162,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-09T00:00:00Z,24.48,,,173,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-12T00:00:00Z,24.49,,,173,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-13T00:00:00Z,24.62,,,177,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-14T00:00:00Z,23.84,,,177,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-15T00:00:00Z,24.44,,,177,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-16T00:00:00Z,24.78,,,179,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-16T00:00:00Z,24.78,,,179,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-20T00:00:00Z,23.74,,,185,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-21T00:00:00Z,24.01,,,186,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-22T00:00:00Z,24.38,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-23T00:00:00Z,23.21,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-26T00:00:00Z,23.81,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-27T00:00:00Z,24.41,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-28T00:00:00Z,24.03,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-02-29T00:00:00Z,23.7,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-01T00:00:00Z,24.62,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-04T00:00:00Z,24.46,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-05T00:00:00Z,23.8,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-06T00:00:00Z,24.39,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-07T00:00:00Z,24.51,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-08T00:00:00Z,23.98,,,188,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-11T00:00:00Z,24.28,23.65,23.65,189,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-12T00:00:00Z,24.07,23.65,23.65,189,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-13T00:00:00Z,25.46,23.65,23.65,189,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-14T00:00:00Z,26.44,23.65,23.65,189,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-15T00:00:00Z,26.63,23.65,23.65,189,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-18T00:00:00Z,27.49,23.65,23.65,189,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-19T00:00:00Z,27.75,23.65,23.65,189,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-20T00:00:00Z,26.9,26.9,27.0,197,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-21T00:00:00Z,26.89,27.0,26.78,202,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-22T00:00:00Z,26.36,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-25T00:00:00Z,27.28,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-26T00:00:00Z,27.06,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-27T00:00:00Z,26.93,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-28T00:00:00Z,27.94,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-03-28T00:00:00Z,27.94,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-01T00:00:00Z,27.99,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-02T00:00:00Z,28.84,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-03T00:00:00Z,29.5,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-04T00:00:00Z,30.47,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-05T00:00:00Z,30.57,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-08T00:00:00Z,30.19,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-09T00:00:00Z,29.6,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-10T00:00:00Z,30.34,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-11T00:00:00Z,29.89,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-12T00:00:00Z,30.43,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-15T00:00:00Z,30.33,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-16T00:00:00Z,30.47,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-17T00:00:00Z,28.44,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-18T00:00:00Z,28.25,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-19T00:00:00Z,28.08,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-22T00:00:00Z,27.69,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-23T00:00:00Z,28.67,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-24T00:00:00Z,28.51,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-25T00:00:00Z,28.9,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-26T00:00:00Z,29.37,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-29T00:00:00Z,28.64,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-04-30T00:00:00Z,28.03,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-05-01T00:00:00Z,25.59,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-05-02T00:00:00Z,25.84,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-05-03T00:00:00Z,25.55,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-05-06T00:00:00Z,25.95,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
CL500L24^L24,2024-05-07T00:00:00Z,25.94,26.85,26.85,203,CL500L24^L24,50.0,L24,2024-12-01
